Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,IsBaseline,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,MaxBoundNumber,Mean,Error,StdDev,Min,Max,Median,Scaled,Rank,Gen 0,Gen 1,Gen 2,Allocated
CSharpParallelLinq,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10,20.290 us,0.3363 us,0.3146 us,19.950 us,21.004 us,20.180 us,1.00,1,1.6785,0.0305,-,5.6 KB
FSharpParallelMap,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10,8.128 us,0.0461 us,0.0385 us,8.062 us,8.221 us,8.128 us,1.00,1,0.5188,-,-,2.95 KB
CSharpParallelLinq,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100,28.695 us,0.0943 us,0.0882 us,28.588 us,28.849 us,28.667 us,1.00,1,2.5940,0.0916,-,7.44 KB
FSharpParallelMap,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100,18.168 us,0.1361 us,0.1273 us,17.965 us,18.385 us,18.192 us,1.00,1,1.3123,-,-,6.08 KB
CSharpParallelLinq,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000,89.840 us,1.1980 us,1.1206 us,87.457 us,91.639 us,89.792 us,1.00,1,12.0850,1.8311,-,21.4 KB
FSharpParallelMap,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000,68.509 us,0.7055 us,0.6599 us,67.526 us,70.051 us,68.346 us,1.00,1,8.6670,1.0986,-,27.79 KB
CSharpParallelLinq,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10000,608.240 us,7.8754 us,6.9814 us,597.503 us,623.249 us,606.549 us,1.00,1,123.0469,59.5703,-,155.81 KB
FSharpParallelMap,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10000,623.170 us,4.5584 us,4.2639 us,614.950 us,631.468 us,622.405 us,1.00,1,94.7266,46.8750,-,294.52 KB
CSharpParallelLinq,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100000,"15,492.227 us",265.3801 us,248.2367 us,"14,999.972 us","15,890.909 us","15,522.269 us",1.00,1,1203.1250,750.0000,500.0000,1482.02 KB
FSharpParallelMap,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100000,"13,274.575 us",259.6618 us,255.0226 us,"12,928.391 us","13,762.719 us","13,283.805 us",1.00,1,1046.8750,734.3750,531.2500,2342.77 KB
CSharpParallelLinq,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000000,"219,371.411 us","2,821.2797 us","2,639.0265 us","214,926.153 us","224,186.153 us","218,195.403 us",1.00,1,6437.5000,2625.0000,937.5000,14510.46 KB
FSharpParallelMap,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000000,"185,715.504 us","3,663.7664 us","6,970.6963 us","169,149.338 us","197,969.463 us","187,425.963 us",1.00,1,6250.0000,2187.5000,937.5000,21629.66 KB
