Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,IsBaseline,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,MaxBoundNumber,Mean,Error,StdDev,Min,Max,Median,Scaled,ScaledSD,Rank,Gen 0,Gen 1,Gen 2,Allocated
CSharpLinqVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10,"1,095.8 ns",6.383 ns,5.971 ns,"1,087.6 ns","1,108.9 ns","1,094.4 ns",1.00,0.00,1,0.0744,-,-,480 B
FSharpMapVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10,"1,097.0 ns",6.367 ns,5.644 ns,"1,090.4 ns","1,107.0 ns","1,095.0 ns",1.00,0.00,1,0.1183,-,-,752 B
FSharpRecursion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10,953.3 ns,6.839 ns,6.062 ns,945.5 ns,965.0 ns,951.0 ns,1.00,0.00,1,0.1106,-,-,704 B
FSharpRecursionTailCallOpt,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10,"1,082.4 ns",3.814 ns,3.381 ns,"1,078.1 ns","1,089.8 ns","1,081.5 ns",1.00,0.00,1,0.1717,-,-,1088 B
CSharpLinqVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100,"9,413.4 ns",72.023 ns,67.370 ns,"9,340.7 ns","9,540.9 ns","9,410.4 ns",1.00,0.00,1,0.6104,-,-,3888 B
FSharpMapVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100,"10,006.0 ns",143.832 ns,127.503 ns,"9,859.3 ns","10,273.7 ns","9,976.8 ns",1.00,0.00,1,0.8698,-,-,5488 B
FSharpRecursion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100,"10,523.5 ns",48.152 ns,42.685 ns,"10,445.7 ns","10,592.3 ns","10,529.0 ns",1.00,0.00,1,1.0986,0.0153,-,6992 B
FSharpRecursionTailCallOpt,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100,"11,102.1 ns",33.496 ns,31.332 ns,"11,054.0 ns","11,150.1 ns","11,100.2 ns",1.00,0.00,1,1.7395,0.0305,-,10976 B
CSharpLinqVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000,"93,096.5 ns",281.837 ns,249.841 ns,"92,806.6 ns","93,655.6 ns","93,003.6 ns",1.00,0.00,1,5.9814,0.7324,-,37968 B
FSharpMapVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000,"95,343.5 ns",117.477 ns,104.140 ns,"95,223.8 ns","95,612.3 ns","95,326.1 ns",1.00,0.00,1,7.9346,0.6104,-,50408 B
FSharpRecursion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000,"112,668.6 ns",236.820 ns,209.935 ns,"112,364.3 ns","113,152.0 ns","112,653.7 ns",1.00,0.00,1,10.9863,1.3428,-,69872 B
FSharpRecursionTailCallOpt,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000,"117,080.2 ns",177.326 ns,148.076 ns,"116,898.6 ns","117,310.3 ns","117,049.8 ns",1.00,0.00,1,17.4561,2.5635,-,109856 B
CSharpLinqVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10000,"1,006,432.4 ns","2,218.243 ns","2,074.946 ns","1,001,213.0 ns","1,009,513.8 ns","1,006,152.5 ns",1.00,0.00,1,64.4531,31.2500,-,417168 B
FSharpMapVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10000,"1,045,360.5 ns","1,484.088 ns","1,315.605 ns","1,042,648.7 ns","1,047,371.4 ns","1,045,222.9 ns",1.00,0.00,1,91.7969,37.1094,-,588584 B
FSharpRecursion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10000,"1,653,522.1 ns","4,281.672 ns","4,005.079 ns","1,646,142.8 ns","1,661,543.2 ns","1,653,697.5 ns",1.00,0.00,1,115.2344,52.7344,-,737072 B
FSharpRecursionTailCallOpt,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,10000,"1,430,441.8 ns","3,313.786 ns","3,099.718 ns","1,424,945.3 ns","1,435,898.4 ns","1,431,009.8 ns",1.00,0.00,1,179.6875,85.9375,-,1137056 B
CSharpLinqVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100000,"16,907,661.4 ns","92,764.635 ns","82,233.425 ns","16,817,920.3 ns","17,045,264.1 ns","16,872,092.2 ns",1.00,0.00,1,625.0000,375.0000,218.7500,4209237 B
FSharpMapVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100000,"17,598,009.8 ns","217,700.914 ns","192,986.171 ns","17,418,112.5 ns","18,144,393.8 ns","17,541,550.0 ns",1.00,0.00,1,1093.7500,843.7500,500.0000,5658455 B
FSharpRecursion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100000,"73,011,691.7 ns","317,938.383 ns","297,399.731 ns","72,557,587.5 ns","73,530,775.0 ns","73,029,275.0 ns",1.00,0.00,1,1187.5000,562.5000,250.0000,7409074 B
FSharpRecursionTailCallOpt,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,100000,"30,781,665.0 ns","213,972.686 ns","189,681.194 ns","30,396,979.7 ns","31,157,729.7 ns","30,784,339.1 ns",1.00,0.00,1,1750.0000,781.2500,375.0000,11409057 B
CSharpLinqVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000000,"232,527,124.3 ns","1,771,208.016 ns","1,479,038.770 ns","230,226,153.1 ns","235,784,465.6 ns","232,420,028.1 ns",1.00,0.00,1,6312.5000,2062.5000,937.5000,42130654 B
FSharpMapVersion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000000,"235,851,045.8 ns","2,263,995.127 ns","2,117,742.240 ns","232,096,912.5 ns","238,707,600.0 ns","236,290,787.5 ns",1.00,0.00,1,6500.0000,2187.5000,1062.5000,54518988 B
FSharpRecursion,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000000,NA,NA,NA,NA,NA,NA,?,?,?,N/A,N/A,N/A,N/A
FSharpRecursionTailCallOpt,Default,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,True,1,Default,Default,Default,Default,16,Default,1000000,"552,803,869.8 ns","6,893,016.968 ns","6,447,731.721 ns","539,478,415.6 ns","562,835,353.1 ns","554,046,103.1 ns",1.00,0.00,1,19437.5000,8937.5000,2625.0000,114130414 B
